id_company,company_name,company_type,industry_sector,kota,skala_perusahaan,pic_name,pic_phone,created_at
C001,PT Solusi Analitika,Startup,Manufaktur,Surakarta,Lokal,Budi Setiawan,082238908386,2024-05-14
C002,CV Makmur Abadi,BUMN,Teknologi Informasi,Semarang,Nasional,Vina Permana,082135116155,2022-11-23
C003,PT Inti Terapan,Startup,Retail,Yogyakarta,Lokal,Maulana Handoko,081695931034,2024-02-15
C004,PT Digital Bangsa,Startup,Konsultan Manajemen,Yogyakarta,Lokal,Wulan Sari,085341928327,2022-11-30
C005,PT Jaya Systems,UMKM,Manufaktur,Semarang,Lokal,Bima Nugroho,081556413953,2022-04-25
C006,PT Gemilang Bersama,NGO,Retail,Surakarta,Lokal,Nurul Febriani,087853287101,2023-06-23
C007,CV Bumi Terapan,UMKM,E-commerce,Jakarta,Nasional,Ratna Pratama,085318451462,2024-12-19
C008,PT Inovasi Analitika,BUMN,Konsultan Manajemen,Depok,Nasional,Erlangga Cahyani,085789325288,2023-01-01
C009,PT Bakti Inovasi,Startup,FMCG,Malang,Lokal,Dimas Wijaya,085211718227,2023-09-22
C010,PT Bumi Abadi,Corporate,Asuransi,Depok,Nasional,Amelia Rahmawati,085357871331,2023-02-16
C011,PT Solusi Makmur,Corporate,Manufaktur,Surakarta,Lokal,Erlangga Suryadi,081383473829,2022-05-19
C012,PT Andalas Sejahtera,BUMN,Asuransi,Surakarta,Nasional,Wulan Prasetya,087870106513,2022-07-18
C013,CV Sinergi Konsultan,Corporate,Asuransi,Surakarta,Multinasional,Devi Wardani,081308013267,2022-06-04
C014,PT Kreasi Bangsa,Corporate,Keuangan & Perbankan,Surakarta,Multinasional,Anisa Anggara,085768723430,2024-03-10
C015,PT Mitra Analitika,Startup,Keuangan & Perbankan,Bandung,Lokal,Dafa Utami,081391361939,2022-04-27
C016,PT Cipta Global,Startup,Otomotif,Jakarta,Nasional,Amelia Ramadhani,085347510799,2023-05-04
C017,PT Karya Konsultan,Startup,Konsultan Manajemen,Surakarta,Lokal,Sari Putra,087784980841,2023-05-16
C018,CV Inti Nusantara,BUMN,Travel & Hospitality,Surakarta,Nasional,Bagus Suryadi,082248740164,2023-08-01
