NIM,nama,program_studi,semester,hp,email_pribadi,email_kampus,bidang_minat,jenis_penempatan_diminati,bulan_masuk
20230001,Aditya Utami,Desain Komunikasi Visual,2,081695318500,aditya.utami@gmail.com,20230001@student.uns.ac.id,Desain,Magang,Februari 2023
20210002,Fajar Rahmawati,Pendidikan Teknik Informatika,5,082104810930,fajar.rahmawati@gmail.com,20210002@student.uns.ac.id,Teknologi,Full-time,September 2021
20230003,Tika Adriansyah,Teknik Industri,2,081679739824,tika.adriansyah@gmail.com,20230003@student.uns.ac.id,Teknologi,Magang,September 2023
20230004,Dinda Ningsih,Teknik Elektro,3,083827238264,dinda.ningsih@gmail.com,20230004@student.uns.ac.id,Teknologi,Full-time,September 2023
20230005,Isna Hidayat,Akuntansi,2,085368815590,isna.hidayat@gmail.com,20230005@student.uns.ac.id,Bisnis,Part-time,Maret 2023
20210006,Nanda Prasetya,Statistika,7,083876150488,nanda.prasetya@gmail.com,20210006@student.uns.ac.id,Sains,Magang,September 2021
20210007,Farel Handayani,Ilmu Hukum,7,085764035076,farel.handayani@gmail.com,20210007@student.uns.ac.id,Sosial,Part-time,Agustus 2021
20220008,Wulan Hakim,Ilmu Komunikasi,3,081308227754,wulan.hakim@gmail.com,20220008@student.uns.ac.id,Sosial,Magang,September 2022
20210009,Dinda Firdaus,Agroteknologi,6,085612387249,dinda.firdaus@gmail.com,20210009@student.uns.ac.id,Sains,Magang,Agustus 2021
20230010,Hanif Anggraeni,Manajemen,2,081655948496,hanif.anggraeni@gmail.com,20230010@student.uns.ac.id,Bisnis,Part-time,Agustus 2023
20210011,Nadia Hidayat,Manajemen,5,085371255935,nadia.hidayat@gmail.com,20210011@student.uns.ac.id,Bisnis,Part-time,September 2021
20230012,Ilham Mahendra,Manajemen,2,081322727653,ilham.mahendra@gmail.com,20230012@student.uns.ac.id,Bisnis,Magang,Agustus 2023
20230013,Elsa Ramadhan,Pendidikan Teknik Informatika,3,085300545583,elsa.ramadhan@gmail.com,20230013@student.uns.ac.id,Teknologi,Magang,September 2023
20220014,Wulan Puspitasari,Pendidikan Teknik Informatika,4,087883357668,wulan.puspitasari@gmail.com,20220014@student.uns.ac.id,Teknologi,Full-time,Februari 2022
20200015,Salma Pratama,Teknik Elektro,9,081504317155,salma.pratama@gmail.com,20200015@student.uns.ac.id,Teknologi,Magang,Agustus 2020
20220016,Tasya Putra,Informatika,5,083860931608,tasya.putra@gmail.com,20220016@student.uns.ac.id,Teknologi,Magang,Agustus 2022
20220017,Farah Ningsih,Informatika,3,083839111532,farah.ningsih@gmail.com,20220017@student.uns.ac.id,Teknologi,Part-time,September 2022
20190018,Sari Wibowo,Informatika,11,085263790203,sari.wibowo@gmail.com,20190018@student.uns.ac.id,Teknologi,Part-time,Agustus 2019
20220019,Nadya Putra,Pendidikan Teknik Informatika,3,085778167663,nadya.putra@gmail.com,20220019@student.uns.ac.id,Teknologi,Magang,Agustus 2022
20220020,Lutfia Ramadhani,Statistika,5,082166474264,lutfia.ramadhani@gmail.com,20220020@student.uns.ac.id,Sains,Magang,Agustus 2022
20210021,Qori Anggara,Ilmu Komunikasi,5,085266379581,qori.anggara@gmail.com,20210021@student.uns.ac.id,Sosial,Part-time,Agustus 2021
20220022,Fani Budiman,Teknik Industri,5,085314469399,fani.budiman@gmail.com,20220022@student.uns.ac.id,Teknologi,Magang,September 2022
20220023,Fajar Prabowo,Teknik Elektro,4,085702690896,fajar.prabowo@gmail.com,20220023@student.uns.ac.id,Teknologi,Magang,Agustus 2022
20210024,Zahra Gunawan,Desain Komunikasi Visual,7,083822923246,zahra.gunawan@gmail.com,20210024@student.uns.ac.id,Desain,Part-time,Agustus 2021
20220025,Lukman Wibowo,Teknik Industri,3,087813867485,lukman.wibowo@gmail.com,20220025@student.uns.ac.id,Teknologi,Magang,September 2022
20210026,Dimas Kusuma,Psikologi,6,087765786800,dimas.kusuma@gmail.com,20210026@student.uns.ac.id,Sosial,Part-time,September 2021
20230027,Eka Sulistyo,Sistem Informasi,2,085749436327,eka.sulistyo@gmail.com,20230027@student.uns.ac.id,Teknologi,Part-time,September 2023
20190028,Gita Kusuma,Pendidikan Teknik Informatika,10,082100421867,gita.kusuma@gmail.com,20190028@student.uns.ac.id,Teknologi,Part-time,September 2019
20210029,Erlangga Ramadhan,Sistem Informasi,5,083850565133,erlangga.ramadhan@gmail.com,20210029@student.uns.ac.id,Teknologi,Part-time,Agustus 2021
20210030,Dewi Pangestu,Informatika,6,085698766327,dewi.pangestu@gmail.com,20210030@student.uns.ac.id,Teknologi,Part-time,Februari 2021
20220031,Ilham Permana,Sistem Informasi,3,085689170052,ilham.permana@gmail.com,20220031@student.uns.ac.id,Teknologi,Magang,Agustus 2022
20200032,Krisna Permana,Teknik Mesin,9,081565990527,krisna.permana@gmail.com,20200032@student.uns.ac.id,Teknologi,Part-time,September 2020
20190033,Wahyu Puspitasari,Ilmu Komunikasi,9,083830407751,wahyu.puspitasari@gmail.com,20190033@student.uns.ac.id,Sosial,Magang,Maret 2019
20210034,Eka Pratama,Ilmu Komunikasi,5,083897453714,eka.pratama@gmail.com,20210034@student.uns.ac.id,Sosial,Magang,Februari 2021
20230035,Candra Firmansyah,Informatika,2,082212666560,candra.firmansyah@gmail.com,20230035@student.uns.ac.id,Teknologi,Magang,Agustus 2023
20200036,Arif Setiawan,Teknik Sipil,8,082147555267,arif.setiawan@gmail.com,20200036@student.uns.ac.id,Teknologi,Magang,Agustus 2020
20230037,Rangga Wijaya,Manajemen,2,085810056870,rangga.wijaya@gmail.com,20230037@student.uns.ac.id,Bisnis,Magang,Agustus 2023
20210038,Umar Anggara,Pendidikan Teknik Informatika,5,081367932353,umar.anggara@gmail.com,20210038@student.uns.ac.id,Teknologi,Part-time,Februari 2021
20220039,Gibran Fitriani,Agroteknologi,3,085795165707,gibran.fitriani@gmail.com,20220039@student.uns.ac.id,Sains,Magang,September 2022
20220040,Joko Hidayat,Statistika,3,085346855190,joko.hidayat@gmail.com,20220040@student.uns.ac.id,Sains,Magang,September 2022
20200041,Taufik Santoso,Farmasi,9,083880510933,taufik.santoso@gmail.com,20200041@student.uns.ac.id,Sains,Part-time,Maret 2020
20210042,Nadia Wijaya,Teknik Industri,6,087754370098,nadia.wijaya@gmail.com,20210042@student.uns.ac.id,Teknologi,Magang,Agustus 2021
20230043,Arif Nugraha,Pendidikan Teknik Informatika,2,085321704701,arif.nugraha@gmail.com,20230043@student.uns.ac.id,Teknologi,Magang,September 2023
20230044,Mira Fitriani,Farmasi,2,085397178568,mira.fitriani@gmail.com,20230044@student.uns.ac.id,Sains,Full-time,Agustus 2023
20200045,Winda Mahendra,Teknik Mesin,8,082293010559,winda.mahendra@gmail.com,20200045@student.uns.ac.id,Teknologi,Full-time,September 2020
20200046,Winda Nugraha,Akuntansi,7,082264708944,winda.nugraha@gmail.com,20200046@student.uns.ac.id,Bisnis,Magang,Agustus 2020
20190047,Mira Handayani,Sastra Inggris,10,085659357076,mira.handayani@gmail.com,20190047@student.uns.ac.id,Sosial,Part-time,Maret 2019
20230048,Nanda Kusuma,Manajemen,2,085327192602,nanda.kusuma@gmail.com,20230048@student.uns.ac.id,Bisnis,Magang,September 2023
20230049,Anisa Sulistyo,Sastra Inggris,2,081601093609,anisa.sulistyo@gmail.com,20230049@student.uns.ac.id,Sosial,Magang,September 2023
20220050,Hesti Safitri,Informatika,5,081632762805,hesti.safitri@gmail.com,20220050@student.uns.ac.id,Teknologi,Magang,September 2022
20230051,Intan Firdaus,Farmasi,2,087882119569,intan.firdaus@gmail.com,20230051@student.uns.ac.id,Sains,Magang,September 2023
20230052,Dian Saputra,Pendidikan Teknik Informatika,2,085869192205,dian.saputra@gmail.com,20230052@student.uns.ac.id,Teknologi,Full-time,September 2023
20230053,Naufal Ramadhan,Manajemen,3,085689250075,naufal.ramadhan@gmail.com,20230053@student.uns.ac.id,Bisnis,Part-time,September 2023
20200054,Riska Permana,Farmasi,9,083818217748,riska.permana@gmail.com,20200054@student.uns.ac.id,Sains,Magang,September 2020
20210055,Laila Mahendra,Ilmu Komunikasi,6,085738356999,laila.mahendra@gmail.com,20210055@student.uns.ac.id,Sosial,Part-time,Maret 2021
20210056,Lukman Hakim,Sistem Informasi,5,087846912671,lukman.hakim@gmail.com,20210056@student.uns.ac.id,Teknologi,Magang,Agustus 2021
20220057,Tiara Safitri,Sistem Informasi,4,081338783056,tiara.safitri@gmail.com,20220057@student.uns.ac.id,Teknologi,Magang,Agustus 2022
20220058,Yuni Dewi,Teknik Industri,4,085248747811,yuni.dewi@gmail.com,20220058@student.uns.ac.id,Teknologi,Magang,Agustus 2022
20200059,Arif Febriani,Farmasi,9,082292229317,arif.febriani@gmail.com,20200059@student.uns.ac.id,Sains,Magang,September 2020
20220060,Vina Pratama,Sastra Inggris,5,081505577791,vina.pratama@gmail.com,20220060@student.uns.ac.id,Sosial,Magang,September 2022
20210061,Eka Ramadhani,Desain Komunikasi Visual,5,082281157509,eka.ramadhani@gmail.com,20210061@student.uns.ac.id,Desain,Magang,September 2021
20200062,Kartika Wibowo,Ilmu Komunikasi,9,085657562943,kartika.wibowo@gmail.com,20200062@student.uns.ac.id,Sosial,Magang,Agustus 2020
20200063,Bayu Pangestu,Teknik Mesin,8,087894394410,bayu.pangestu@gmail.com,20200063@student.uns.ac.id,Teknologi,Magang,Maret 2020
20220064,Budi Budiman,Sistem Informasi,4,082254921018,budi.budiman@gmail.com,20220064@student.uns.ac.id,Teknologi,Magang,September 2022
20220065,Anggi Puspitasari,Ilmu Komunikasi,3,085838481115,anggi.puspitasari@gmail.com,20220065@student.uns.ac.id,Sosial,Magang,Februari 2022
20220066,Dafa Lestari,Teknik Elektro,4,081664262455,dafa.lestari@gmail.com,20220066@student.uns.ac.id,Teknologi,Full-time,Agustus 2022
20210067,Ahmad Utami,Pendidikan Teknik Informatika,5,085222394071,ahmad.utami@gmail.com,20210067@student.uns.ac.id,Teknologi,Part-time,September 2021
20220068,Hafiz Handoko,Teknik Industri,4,081595470060,hafiz.handoko@gmail.com,20220068@student.uns.ac.id,Teknologi,Full-time,Agustus 2022
20220069,Nanda Adriansyah,Farmasi,3,082252141202,nanda.adriansyah@gmail.com,20220069@student.uns.ac.id,Sains,Magang,September 2022
20200070,Ivan Suryadi,Manajemen,8,085318541333,ivan.suryadi@gmail.com,20200070@student.uns.ac.id,Bisnis,Magang,September 2020
20210071,Nadia Pratama,Sistem Informasi,6,087858179157,nadia.pratama@gmail.com,20210071@student.uns.ac.id,Teknologi,Magang,Februari 2021
20220072,Bagus Suryadi,Sistem Informasi,4,085211429994,bagus.suryadi@gmail.com,20220072@student.uns.ac.id,Teknologi,Magang,Agustus 2022
20220073,Hana Handoko,Informatika,3,087899391426,hana.handoko@gmail.com,20220073@student.uns.ac.id,Teknologi,Part-time,September 2022
20210074,Guntur Kurniawan,Ilmu Hukum,7,081220984469,guntur.kurniawan@gmail.com,20210074@student.uns.ac.id,Sosial,Magang,September 2021
20230075,Amelia Ramadhan,Ilmu Komunikasi,3,081591367591,amelia.ramadhan@gmail.com,20230075@student.uns.ac.id,Sosial,Magang,Agustus 2023
20230076,Rani Fitriani,Ilmu Komunikasi,2,082118011308,rani.fitriani@gmail.com,20230076@student.uns.ac.id,Sosial,Magang,Maret 2023
20210077,Naufal Hidayat,Teknik Mesin,7,083840224626,naufal.hidayat@gmail.com,20210077@student.uns.ac.id,Teknologi,Magang,Agustus 2021
20210078,Surya Wijaya,Pendidikan Teknik Informatika,5,081642386707,surya.wijaya@gmail.com,20210078@student.uns.ac.id,Teknologi,Magang,Agustus 2021
20210079,Taufik Nugraha,Sistem Informasi,7,087867408772,taufik.nugraha@gmail.com,20210079@student.uns.ac.id,Teknologi,Part-time,September 2021
20200080,Farah Suryadi,Sistem Informasi,8,081630510972,farah.suryadi@gmail.com,20200080@student.uns.ac.id,Teknologi,Magang,Agustus 2020
20210081,Devi Ramadhani,Teknik Mesin,5,087889392763,devi.ramadhani@gmail.com,20210081@student.uns.ac.id,Teknologi,Full-time,September 2021
20220082,Lina Utami,Sistem Informasi,5,083893632786,lina.utami@gmail.com,20220082@student.uns.ac.id,Teknologi,Part-time,Agustus 2022
20220083,Lutfia Sulistyo,Agroteknologi,4,087731899593,lutfia.sulistyo@gmail.com,20220083@student.uns.ac.id,Sains,Magang,Agustus 2022
20200084,Dwi Prasetya,Desain Komunikasi Visual,9,085834705070,dwi.prasetya@gmail.com,20200084@student.uns.ac.id,Desain,Part-time,Agustus 2020
20210085,Ayu Wulandari,Ekonomi Pembangunan,6,085876866213,ayu.wulandari@gmail.com,20210085@student.uns.ac.id,Bisnis,Magang,September 2021
20220086,Aditya Prabowo,Agroteknologi,4,085654225955,aditya.prabowo@gmail.com,20220086@student.uns.ac.id,Sains,Part-time,September 2022
