id_talent_req,id_company,nama_perusahaan,alamat_kantor,industri_sektor,nama_pic,no_whatsapp,nama_posisi,jenis_penempatan,headcount,bidang_studi_dibutuhkan,minimum_semester,deskripsi_requirement,working_arrangement,working_arrangement_detail,durasi,renumerasi,request_date,sumber_baris_form
TR001,C171,PT Prima Data,"Jl. Merdeka No. 59, Surakarta",Properti & Konstruksi,Lestari Utami,085367280768,Project Coordinator Intern,Magang,3,"Teknik Industri, Manajemen",6,"Menguasai dasar-dasar project coordinator intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,WFO minimal 2 hari per minggu,4 Bulan,Non-Paid,2023-05-14,Google Form
TR002,C638,PT Sentosa Teknologi,"Jl. Pahlawan No. 100, Semarang",Manufaktur,Bayu Prasetya,081549690282,Quality Control Staff,Magang,5,"Teknik Mesin, Farmasi",7,"Memahami quality management system, ISO standards, inspeksi produk.",Hybrid,"3 hari WFO, 2 hari WFH",3 Bulan,Rp 750.000/bulan,2023-05-07,Email
TR003,C900,CV Sejahtera Systems,"Jl. Thamrin No. 79, Surabaya",Telekomunikasi,Fitri Santoso,087882607214,Data Analyst,Part-time,2,"Manajemen, Statistika",6,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",WFO,"WFO 5 hari, jam kerja fleksibel",6 Bulan,Rp 1.000.000/bulan,2023-03-05,Input Manual
TR004,C696,PT Global Nusantara,"Jl. Diponegoro No. 156, Jakarta",Manufaktur,Mira Sulistyo,081257798066,Mechanical Engineer Intern,Part-time,2,Teknik Mesin,7,"Menguasai AutoCAD/SolidWorks, material science dasar, manufaktur.",WFO,"WFO 5 hari, jam kerja fleksibel",4 Bulan,Rp 2.000.000/bulan,2023-04-26,Google Form
TR005,C506,PT Techno Bersama,"Jl. Yos Sudarso No. 187, Surakarta",Logistik & Supply Chain,Bagus Mahendra,081318954738,Supply Chain Analyst,Magang,1,"Teknik Industri, Manajemen",4,"Menguasai supply chain management, Excel, analisis data operasional.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",4 Bulan,Rp 750.000/bulan,2023-06-03,Google Form
TR006,C893,PT Bangkit Global,"Jl. Ahmad Yani No. 17, Surakarta",Logistik & Supply Chain,Nanda Utami,087712053978,IT Support,Magang,1,"Sistem Informasi, Informatika",5,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",Hybrid,WFO minimal 2 hari per minggu,Tidak Terbatas,Rp 2.000.000/bulan,2023-06-21,Email
TR007,C077,PT Andalas Informatika,"Jl. Urip Sumoharjo No. 199, Yogyakarta",Keuangan & Perbankan,Ika Prasetya,085349948857,Financial Analyst,Magang,3,"Ekonomi Pembangunan, Manajemen",4,"Menguasai Excel advanced, financial modeling, analisis laporan keuangan.",WFH,"Full WFH, jam kerja fleksibel",Tidak Terbatas,Uang transport saja,2023-07-17,Google Form
TR008,C873,PT Inti Sentosa,"Jl. Jend. Sudirman No. 170, Yogyakarta",E-commerce,Sinta Syahputra,087790898436,Data Analyst,Part-time,4,"Manajemen, Informatika",5,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",4 Bulan,Rp 1.000.000/bulan,2023-03-28,Google Form
TR009,C1130,PT Perkasa Utama,"Jl. Slamet Riyadi No. 8, Semarang",Properti & Konstruksi,Kirana Ardiansyah,082296342898,Drafter,Part-time,1,"Teknik Sipil, Teknik Mesin",5,"Menguasai dasar-dasar drafter, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",3 Bulan,Rp 2.000.000/bulan,2023-05-21,Google Form
TR010,C1490,CV Bina Bersama,"Jl. Urip Sumoharjo No. 75, Surakarta",Retail,Devi Nugroho,087734417229,Marketing Intern,Magang,3,"Manajemen, Ilmu Komunikasi",6,"Memahami dasar marketing, riset pasar, presentasi, MS Office.",Hybrid,WFO minimal 2 hari per minggu,4 Bulan,Uang transport saja,2023-05-23,Google Form
TR011,C004,PT Digital Bangsa,"Jl. Pemuda No. 108, Yogyakarta",Konsultan Manajemen,Kirana Febriani,087865152126,Consultant Intern,Part-time,2,"Sistem Informasi, Ekonomi Pembangunan",6,"Menguasai dasar-dasar consultant intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Rp 1.500.000/bulan,2023-07-20,Input Manual
TR012,C453,CV Sentosa Makmur,"Jl. Monginsidi No. 198, Jakarta",Retail,Bima Syahputra,085238597779,Digital Marketing Intern,Magang,4,"Ilmu Komunikasi, Manajemen",7,"Menguasai social media management, Google Ads, SEO dasar, content creation.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",4 Bulan,Rp 750.000/bulan,2023-02-25,WhatsApp
TR013,C1489,CV Karya Media,"Jl. Dago No. 131, Semarang",Pendidikan & EdTech,Budi Firdaus,087855155593,Content Writer,Magang,1,"Ilmu Komunikasi, Sastra Inggris",5,"Kemampuan menulis konten yang baik, SEO writing, riset topik.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",Tidak Terbatas,Uang transport saja,2023-07-22,Google Form
TR014,C1234,PT Graha Perkasa,"Jl. Merdeka No. 53, Surakarta",Kesehatan & Farmasi,Elsa Kurniawan,082257953267,Pharmacist Intern,Full-time,2,Farmasi,7,"Menguasai dasar-dasar pharmacist intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"3 hari WFO, 2 hari WFH",6 Bulan,Rp 5.000.000/bulan,2023-04-13,Input Manual
TR015,C210,PT Bumi Informatika,"Jl. Pandanaran No. 16, Malang",Agribisnis,Ulfa Wijaya,085840838663,Research Assistant,Magang,3,"Statistika, Agroteknologi",7,"Kemampuan riset akademik, analisis data kuantitatif/kualitatif, literatur review.",WFO,"Full WFO, shift pagi/siang",6 Bulan,Rp 1.000.000/bulan,2023-05-25,WhatsApp
TR016,C646,CV Mandiri Pratama,"Jl. Jend. Sudirman No. 179, Jakarta",Retail,Luthfi Sulistyo,087832181227,Marketing Intern,Full-time,1,"Manajemen, Ilmu Komunikasi",6,"Memahami dasar marketing, riset pasar, presentasi, MS Office.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",6 Bulan,Rp 6.000.000/bulan,2023-07-06,Email
